time_utc,sensor_index,name,dist_mi,bearing,pm25_a,pm25_b,pm25_avg
2025-10-09 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.7,0.2,0.45
2025-10-09 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.7,0.3,1.0
2025-10-09 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.3,0.8,1.55
2025-10-09 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.1,0.2,0.65
2025-10-10 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.5,2.4,4.45
2025-10-10 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.9,1.1,2.0
2025-10-10 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.6,0.9,1.75
2025-10-10 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.8,2.4,4.6
2025-10-10 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.0,2.5,4.75
2025-10-10 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.0,1.3,2.15
2025-10-10 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.3,3.0,5.65
2025-10-10 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.7,3.4,6.55
2025-10-12 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.5,1.6,3.05
2025-10-12 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,20.0,7.9,13.95
2025-10-12 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.6,0.2,0.9
2025-10-12 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.6,4.1,7.35
2025-10-12 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.8,0.4,1.1
2025-10-14 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.3,4.5,5.4
2025-10-14 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.3,4.7,9.0
2025-10-14 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,35.0,22.8,28.9
2025-10-14 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,29.2,16.6,22.9
2025-10-14 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.6,4.2,8.4
2025-10-14 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,32.9,20.2,26.55
2025-10-14 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.7,5.5,10.1
2025-10-14 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,32.2,19.6,25.9
2025-10-14 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.7,5.2,8.45
2025-10-13 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.5,1.7,4.1
2025-10-13 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.3,1.4,3.35
2025-10-13 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.3,3.4,6.35
2025-10-11 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.3,0.8,0.55
2025-10-11 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.6,2.7,5.15
2025-10-11 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.0,0.4,0.7
2025-10-11 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.5,3.4,5.45
2025-10-11 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.3,0.5,0.4
2025-10-04 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.9,5.9,9.4
2025-10-04 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.4,6.7,11.05
2025-10-04 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.3,7.1,11.7
2025-10-04 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.8,8.0,12.4
2025-10-04 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.7,5.5,9.1
2025-10-04 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,18.5,8.6,13.55
2025-10-07 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.5,3.4,2.45
2025-10-07 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.2,17.4,12.3
